Name,Price
Chilli Garlic Chicken Noodles-Half,160
Chilli Garlic Chicken Noodles-Full,260
Veg Thupka,180
Chicken Thupka,230
Vegetable Fried Rice-Half,90
Vegetable Fried Rice-Full,150
Veg Chilli Garlic Fried Rice-Half,100
Veg Chilli Garlic Fried Rice-Full,160
Paneer Fried Rice-Half,110
Paneer Fried Rice-Full,190
Egg Fried Rice-Half,110
Egg Fried Rice-Full,190
Egg Chilli garlic Fried Rice-Half,120
Egg Chilli garlic Fried Rice-Full,200
Chicken Fried Rice -Half,130
Chicken Fried Rice -Full,210
Chicken & Egg Fried Rice-Half,150
Chicken & Egg Fried Rice-Full,230
Chilli Garlic Chicken Fried Rice -Half,140
Chilli Garlic Chicken Fried Rice -Full,220
Clear Soup-Veg,110
Clear Soup-Chicken,140
Sweet Corn Soup-Veg,140
Sweet Corn Soup-Chicken,180
Manchow Soup-Veg,150
Manchow Soup-Chicken,190
Hot and Sour-Veg,150
Hot and Sour-Chicken,190
Lemon and Coriander-Veg,150
Lemon and Coriander-Chicken,190
Chinese Vegetable Chopsuey,300
Chinese Vegetable Chopsuey,350
Chinese Chicken Chopsuey,350
American Chicken Chopsuey,400
Paneer Tikka-Half,180
Paneer Tikka-Full,300
Malai Paneer Tikka-Half,200
Malai Paneer Tikka-Full,320
Pahadi Paneer Tikka-Half,210
Pahadi Paneer Tikka-Full,400
Cheese Stuffed Paneer Tikka-Half,210
Cheese Stuffed Paneer Tikka-Full,400
Tondoori Soya Chaap-Half,150
Tondoori Soya Chaap-Full,250
Malai Soya Chaap-Half,180
Malai Soya Chaap-Full,280
Chicken Tikka-Half,180
Chicken Tikka-Full,900
Afghani Chichen Tikka-Half,210
Afghani Chichen Tikka-Full,280
Malai Chicken Tikka-Half,200
Malai Chicken Tikka-Full,350
Chicken Tangdi-Half,240
Chicken Tangdi-Full,400
Chicken barbeque Wings-Half,200
Chicken barbeque Wings-Full,350
Veg Kathi Roll-Without Cheese ,90
Veg Kathi Roll-With Cheese ,120
Paneer Roll-Without Cheese ,100
Paneer Roll-With Cheese ,130
Mushroom Roll-Without Cheese ,100
Mushroom Roll-With Cheese ,130
Chicken Roll-Without Cheese ,120
Chicken Roll-With Cheese ,150
Egg Roll -Without Cheese ,30
Egg Roll -With Cheese ,120
Veg Manchurian + Rice/Noodles,190
Chilli Paneer + Rice/Noodles,220
Chilli Chicken + Rice/Noodles,250
Banana Toffee with Icecream-2 pcs,100
Apple Toffee with Icecream-2 pcs,110
Pineapple Toffee with Ice-Cream-2 pcs,130
Mango Shake,80
Oreo Shake,80
Kitkat Shake,80
Cold Coffee,50
Straw Berry Shake,80
Banana Shake ,80
Butterscotch Shake,80
Paan Shake,100
Kaala Khatta Mojito,100
Virgin Mojito,80
Green Apple Mojito,80
Water Melon Mojito,80
Orange Rasna,50
Ice Tea,80
Blue lagoon,80
Grenadine,80
Castles Special,120
Soda Shikanji,40
Masala Coldrink,35
