Ingredient Name,Quantity,Price,Amount
Cleaned-Ingredients,0,0,0
salt,0,0,0
amchur ,0,0,0
karela ,0,0,0
red chilli powder,0,0,0
gram flour ,0,0,0
onion,0,0,0
cumin seeds ,0,0,0
coriander powder,0,0,0
turmeric powder,0,0,0
sunflower oil,0,0,0
