Name,Price,Veg/nonVeg
Shredded Chicken in Hot Garlic Sauce-Full,320,non-veg
Diced Chicken in lemon Garlic Sauce-Half,180,non-veg
Diced Chicken in lemon Garlic Sauce-Full,320,non-veg
Sliced Chicken in Oyster Sauce-Half,190,non-veg
Sliced Chicken in Oyster Sauce-Full,340,non-veg
Diced Chicken in Barbeque Sauce-Half,190,non-veg
Diced Chicken in Barbeque Sauce-Full,340,non-veg
Chicken in Hong Kong Style-Half,190,non-veg
Chicken in Hong Kong Style-Full,340,non-veg
Veg Castle Special Noodles-Half,160,veg
Veg Castle Special Noodles-Full,240,veg
Vegetable Hakka Noodles-Half,100,veg
Vegetable Hakka Noodles-Full,180,veg
Veg Chilli Garlic Noodles-Half,120,veg
Veg Chilli Garlic Noodles-Full,200,veg
Paneer Noodles-Half,130,veg
Paneer Noodles-Full,220,veg
Singaporean Noodles-Half,130,veg
Singaporean Noodles-Full,220,veg
Egg Noodles-Half,130,non-veg
Egg Noodles-Full,220,non-veg
Egg Chilli Garlic Noodle-Half,140,non-veg
Egg Chilli Garlic Noodle-Full,240,non-veg
Chicken Noodles-Half,140,non-veg
Chicken Noodles-Full,240,non-veg
Chicken & Egg Noodles-Half,140,non-veg
Chicken & Egg Noodles-Full,240,non-veg
Chilli Garlic Chicken Noodles-Half,160,non-veg
Chilli Garlic Chicken Noodles-Full,260,non-veg
Veg Thupka,180,veg
Chicken Thupka,230,non-veg
Vegetable Fried Rice-Half,90,veg
Vegetable Fried Rice-Full,150,veg
Veg Chilli Garlic Fried Rice-Half,100,veg
Veg Chilli Garlic Fried Rice-Full,160,veg
Paneer Fried Rice-Half,110,veg
Paneer Fried Rice-Full,190,veg
Egg Fried Rice-Half,110,non-veg
Egg Fried Rice-Full,190,non-veg
Egg Chilli garlic Fried Rice-Half,120,non-veg
Egg Chilli garlic Fried Rice-Full,200,non-veg
Chicken Fried Rice -Half,130,non-veg
Chicken Fried Rice -Full,210,non-veg
Chicken & Egg Fried Rice-Half,150,non-veg
Chicken & Egg Fried Rice-Full,230,non-veg
Chilli Garlic Chicken Fried Rice -Half,140,non-veg
Chilli Garlic Chicken Fried Rice -Full,220,non-veg
Clear Soup-Veg,110,veg
Clear Soup-Chicken,140,non-veg
Sweet Corn Soup-Veg,140,veg
Sweet Corn Soup-Chicken,180,non-veg
Manchow Soup-Veg,150,veg
Manchow Soup-Chicken,190,non-veg
Hot and Sour-Veg,150,veg
Hot and Sour-Chicken,190,non-veg
Lemon and Coriander-Veg,150,veg
Lemon and Coriander-Chicken,190,non-veg
Chinese Vegetable Chopsuey,300,veg
Chinese Vegetable Chopsuey,350,veg
Chinese Chicken Chopsuey,350,non-veg
American Chicken Chopsuey,400,non-veg
Paneer Tikka-Half,180,veg
Paneer Tikka-Full,300,veg
Malai Paneer Tikka-Half,200,veg
Malai Paneer Tikka-Full,320,veg
Pahadi Paneer Tikka-Half,210,veg
Pahadi Paneer Tikka-Full,400,veg
Cheese Stuffed Paneer Tikka-Half,210,veg
Cheese Stuffed Paneer Tikka-Full,400,veg
Tondoori Soya Chaap-Half,150,veg
Tondoori Soya Chaap-Full,250,veg
Malai Soya Chaap-Half,180,veg
Malai Soya Chaap-Full,280,veg
Chicken Tikka-Half,180,non-veg
Chicken Tikka-Full,900,non-veg
Afghani Chichen Tikka-Half,210,veg
Afghani Chichen Tikka-Full,280,veg
Malai Chicken Tikka-Half,200,non-veg
Malai Chicken Tikka-Full,350,non-veg
Chicken Tangdi-Half,240,non-veg
Chicken Tangdi-Full,400,non-veg
Chicken barbeque Wings-Half,200,non-veg
Chicken barbeque Wings-Full,350,non-veg
Veg Kathi Roll-Without Cheese ,90,veg
Veg Kathi Roll-With Cheese ,120,veg
Paneer Roll-Without Cheese ,100,veg
Paneer Roll-With Cheese ,130,veg
Mushroom Roll-Without Cheese ,100,veg
